Symbol,Name,Sector,Market Cap
MX.TO,Canada Stock,Unknown,500000000
MRU.TO,Canada Stock,Unknown,500000000
MTY.TO,Canada Stock,Unknown,500000000
MTL.TO,Canada Stock,Unknown,500000000
NA.TO,Canada Stock,Unknown,500000000
NGD.TO,Canada Stock,Unknown,500000000
NXE.TO,Canada Stock,Unknown,500000000
NFI.TO,Canada Stock,Unknown,500000000
NWC.TO,Canada Stock,Unknown,500000000
NPI.TO,Canada Stock,Unknown,500000000
NWH-UN.TO,Canada Stock,Unknown,500000000
NG.TO,Canada Stock,Unknown,500000000
NTR.TO,Canada Stock,Unknown,500000000
NVEI.TO,Canada Stock,Unknown,500000000
NVA.TO,Canada Stock,Unknown,500000000
OGC.TO,Canada Stock,Unknown,500000000
ONEX.TO,Canada Stock,Unknown,500000000
OTEX.TO,Canada Stock,Unknown,500000000
OLA.TO,Canada Stock,Unknown,500000000
OR.TO,Canada Stock,Unknown,500000000
OSK.TO,Canada Stock,Unknown,500000000
PAAS.TO,Canada Stock,Unknown,500000000
POU.TO,Canada Stock,Unknown,500000000
PXT.TO,Canada Stock,Unknown,500000000
PKI.TO,Canada Stock,Unknown,500000000
PSI.TO,Canada Stock,Unknown,500000000
PPL.TO,Canada Stock,Unknown,500000000
PET.TO,Canada Stock,Unknown,500000000
PEY.TO,Canada Stock,Unknown,500000000
POW.TO,Canada Stock,Unknown,500000000
PSK.TO,Canada Stock,Unknown,500000000
PD.TO,Canada Stock,Unknown,500000000
PBH.TO,Canada Stock,Unknown,500000000
PMZ-UN.TO,Canada Stock,Unknown,500000000
PRMW.TO,Canada Stock,Unknown,500000000
QBR-B.TO,Canada Stock,Unknown,500000000
QSR.TO,Canada Stock,Unknown,500000000
RCH.TO,Canada Stock,Unknown,500000000
REI-UN.TO,Canada Stock,Unknown,500000000
RCI-B.TO,Canada Stock,Unknown,500000000
RY.TO,Canada Stock,Unknown,500000000
RUS.TO,Canada Stock,Unknown,500000000
SSL.TO,Canada Stock,Unknown,500000000
SAP.TO,Canada Stock,Unknown,500000000
SEA.TO,Canada Stock,Unknown,500000000
SES.TO,Canada Stock,Unknown,500000000
SHOP.TO,Canada Stock,Unknown,500000000
SIA.TO,Canada Stock,Unknown,500000000
SIL.TO,Canada Stock,Unknown,500000000
SRU-UN.TO,Canada Stock,Unknown,500000000
SOBO.TO,Canada Stock,Unknown,500000000
TOY.TO,Canada Stock,Unknown,500000000
SII.TO,Canada Stock,Unknown,500000000
SSRM.TO,Canada Stock,Unknown,500000000
STN.TO,Canada Stock,Unknown,500000000
STLC.TO,Canada Stock,Unknown,500000000
SJ.TO,Canada Stock,Unknown,500000000
SVI.TO,Canada Stock,Unknown,500000000
SLF.TO,Canada Stock,Unknown,500000000
SU.TO,Canada Stock,Unknown,500000000
SPB.TO,Canada Stock,Unknown,500000000
TVE.TO,Canada Stock,Unknown,500000000
TRP.TO,Canada Stock,Unknown,500000000
TECK-B.TO,Canada Stock,Unknown,500000000
T.TO,Canada Stock,Unknown,500000000
TFII.TO,Canada Stock,Unknown,500000000
TRI.TO,Canada Stock,Unknown,500000000
TLRY.TO,Canada Stock,Unknown,500000000
X.TO,Canada Stock,Unknown,500000000
TPZ.TO,Canada Stock,Unknown,500000000
